Supplementary Table 1List of Classifier Genes;;;;;;;
;Gene symbol;Parametric P value;CV support (%);Geometric mean (log2 ratio in class 1);Geometric mean (log2 ratio in class 2);Ratio;Chromosomal location
1;TMPRSS4;<1e-07;100;3.69;63.16;0.058;11q23.3
2;BIK;<1e-07;100;2.13;8.83;0.24;22q13.31
3;SERPINB5;<1e-07;100;4.39;55.51;0.079;18q21.3
4;KRT19;<1e-07;100;5;16.39;0.3;17q21.2
5;TRIM31;<1e-07;100;5.9;40.38;0.15;6p21.3
6;C13orf34;<1e-07;100;2.25;4.79;0.47;13q22.1
7;CDH3;<1e-07;100;14.07;158.43;0.089;16q22.1
8;CAPG;<1e-07;100;3.93;9.48;0.42;2p11.2
9;CEACAM6;<1e-07;100;2.65;12.57;0.21;19q13.2
10;IGFL2;<1e-07;100;11.88;106.2;0.11;19q13.32
11;HK2;<1e-07;100;4.44;15.02;0.3;2p13
12;STYK1;<1e-07;100;2.84;9.74;0.29;12p13.2
13;CEACAM5;<1e-07;100;3.91;61.27;0.064;19q13.1-q13.2
14;QPCT;<1e-07;100;1.61;4.15;0.39;2p22.2
15;LAMB3;<1e-07;100;8.06;32.58;0.25;1q32
16;TSPAN1;<1e-07;100;2.9;12.47;0.23;1p34.1
17;SLC6A14;<1e-07;100;24.01;343.86;0.07;Xq23-q24
18;RHBDL2;<1e-07;100;1.84;6.07;0.3;1p34.3
19;MXRA5;<1e-07;100;2.61;7.38;0.35;Xp22.33
20;GPR92;<1e-07;100;1.62;3.94;0.41;12p13.31
21;CTSE;<1e-07;100;3.4;27.19;0.13;1q31
22;ADAM8;<1e-07;100;2.92;8.33;0.35;10q26.3
23;DTX2;<1e-07;100;3.42;6.78;0.5;7q11.23
24;ASPHD2;<1e-07;100;2.53;7.56;0.33;22q12.1
25;FLJ22662;<1e-07;100;1.82;5.12;0.36;12p13.1
26;CYP2S1;<1e-07;100;1.21;8.55;0.14;19q13.1
27;C20orf42;<1e-07;100;10.38;45.97;0.23;20p12.3
28;ANKRD22;<1e-07;100;3.63;10.52;0.34;10q23.31
29;C19orf21;<1e-07;100;5.76;20.01;0.29;19p13.3
30;COL11A1;<1e-07;100;3.91;15.88;0.25;1p21
31;PSCA;<1e-07;100;2.53;29.37;0.086;8q24.2
32;C19orf33;<1e-07;100;4.85;23.33;0.21;19q13.2
33;GPR110;2.00E-07;100;1.81;5.37;0.34;6p12.3
34;ZBED2;1.00E-07;100;2.7;10.71;0.25;3q13.13
35;KRT17;<1e-07;100;6.37;48.71;0.13;17q12-q21
36;CD55;3.00E-07;100;1.37;3.48;0.39;1q32
37;ANLN;1.00E-07;100;3.83;9.28;0.41;7p15-p14
38;KCNK1;2.00E-07;100;2.16;4.27;0.51;1q42-q43
39;CORO2A;2.00E-07;100;2.25;4.7;0.48;9q22.3
40;ABHD9;4.00E-07;100;2.07;6.37;0.33;19p13.12
41;ITGB6;5.00E-07;100;4.54;16.04;0.28;2q24.2
42;KLK7;9.00E-07;100;3;22;0.14;19q13.33
43;PPP1R1B;1.00E-06;100;1.86;5.5;0.34;17q12
44;NRP2;1.30E-06;100;1.74;3.78;0.46;2q33.3
45;PLEK2;7.00E-07;100;4.89;11.32;0.43;14q23.3
46;C15orf48;1.20E-06;100;3.62;11.04;0.33;15q21.1
47;GJB5;2.80E-06;100;7.68;50.71;0.15;1p35.1
48;KIAA1199;1.00E-06;100;5.81;20.24;0.29;15q24
49;FA2H;1.50E-06;100;2.76;7.01;0.39;16q23
50;VDR;2.00E-06;100;2.88;6.61;0.44;12q13.11
51;AP1S3;1.60E-06;100;4.47;10.52;0.42;2q36.1
52;PTPRR;2.20E-06;100;2.63;10.02;0.26;12q15
53;SLC4A11;1.50E-06;100;2.51;5.5;0.46;20p12
54;DAPP1;3.30E-06;100;2.65;6.76;0.39;4q25-q27
55;MYEOV;2.10E-06;100;8.51;38.82;0.22;11q13
56;USP54;2.40E-06;100;4.7;10.37;0.45;10q22.2
57;SLC16A3;2.10E-06;100;2.75;5.56;0.49;17q25
58;GPR160;2.70E-06;100;2.36;4.84;0.49;3q26.2-q27
59;TJP3;2.90E-06;100;2.21;4.49;0.49;19p13.3
60;MYH14;2.90E-06;100;1.93;3.66;0.53;19q13.33
61;SCIN;3.00E-06;100;4.59;13.85;0.33;7p21.3
62;S100P;4.60E-06;100;4.25;23.06;0.18;4p16
63;CDCP1;3.60E-06;100;3.72;7.39;0.5;3p21.31
64;FXYD3;5.80E-06;100;3.14;9.95;0.32;19q13.11-q13.12
65;BHLHB3;4.90E-06;100;2.39;4.75;0.5;12p11.23-p12.1
66;C1orf135;4.80E-06;100;8.02;21.8;0.37;1p36.11
67;PPP1R14D;6.80E-06;100;4.4;16.97;0.26;15q15.1
68;SFN;5.10E-06;100;14.15;44.98;0.31;1p36.11
69;MSLN;9.20E-06;100;7.61;60.56;0.13;16p13.3
70;ALDH3B1;6.90E-06;100;2.04;4.06;0.5;11q13
71;HSH2D;6.10E-06;100;5.06;10.7;0.47;19p13.11
72;CLIC3;9.70E-06;100;2.2;8.48;0.26;9q34.3
73;BCMO1;7.50E-06;100;3.05;9.38;0.32;16q21-q23
74;CDH17;8.40E-06;100;4.64;28.95;0.16;8q22.1
75;REG4;1.05E-05;100;2.99;23.16;0.13;1p13.1-p12
76;LIPH;1.00E-05;100;1.84;3.35;0.55;3q27
77;MYO1A;1.72E-05;100;1.84;10.36;0.18;12q13-q14
78;MTMR11;1.44E-05;100;1.84;3.61;0.51;1q12-q21
79;DHDH;1.41E-05;100;2.4;5.19;0.46;19q13.3
80;SLC6A20;2.45E-05;100;1.98;4.73;0.42;3p21.3
81;FAM83D;1.70E-05;100;2.75;5.19;0.53;20q11.22-q12
82;GPA33;2.19E-05;100;1.78;7.87;0.23;1q24.1
83;NOXO1;2.45E-05;100;2.56;7.26;0.35;16p13.3
84;NMU;2.84E-05;100;15.65;136.18;0.11;4q12
85;ST6GALNAC1;3.70E-05;100;2.2;10.06;0.22;17q25.1
86;APOBEC1;3.12E-05;100;3.53;15.58;0.23;12p13.1
87;ITGA2;1.99E-05;100;3.72;7.17;0.52;5q23-q31
88;GPR87;2.50E-05;100;3.99;12.77;0.31;3q24
89;CEP55;2.09E-05;100;19.54;42.94;0.45;10q23.33
90;HSPA1B;2.35E-05;100;2.15;3.59;0.6;6p21.3
91;C1orf178;3.85E-05;100;4.22;17.6;0.24;1p13.2
92;ST14;2.32E-05;100;4.98;9.49;0.52;11q24-q25
93;GJB3;2.90E-05;100;20.22;55.04;0.37;1p34
94;SIX4;4.16E-05;100;5.87;12.84;0.46;14q23
95;OLR1;4.35E-05;100;3.87;8.46;0.46;12p13.2-p12.3
96;BUB1;3.99E-05;100;5.62;10.45;0.54;2q14
97;FGFBP1;5.56E-05;100;5.52;30.28;0.18;4p16-p15
98;VCAN;4.69E-05;100;2.8;5.22;0.54;5q14.3
99;COL1A2;5.70E-05;100;2.11;3.9;0.54;7q22.1
100;C1GALT1;5.57E-05;100;2.18;3.81;0.57;7p14-p13
101;CENPE;5.22E-05;100;3.11;5.32;0.59;4q24-q25
102;PTK6;5.89E-05;100;4.01;10.13;0.4;20q13.3
103;DLG7;6.40E-05;100;19.86;45.71;0.43;14q22.3
104;GPRC5A;9.33E-05;100;3.51;11.7;0.3;12p13-p12.3
105;KLK6;7.94E-05;100;7.87;41.24;0.19;19q13.3
106;ELL3;8.43E-05;100;2.38;4.43;0.54;15q15.3
107;MMP12;7.74E-05;100;4.28;13.38;0.32;11q22.3
108;TPX2;7.53E-05;100;3.11;5.44;0.57;20q11.2
109;SMPDL3B;9.40E-05;100;2.59;4.9;0.53;1p35.3
110;CBLC;8.37E-05;100;2.58;4.15;0.62;19q13.2
111;SPOCD1;0.0001007;100;2.51;4.86;0.52;1p35.2
112;CKMT1B;0.0001279;100;3.81;13.61;0.28;15q15
113;KLF5;0.0001351;100;2.31;5.24;0.44;13q22.1
114;C9orf140;0.000112;100;4.99;9.2;0.54;9q34.3
115;LGALS3;0.0001273;100;2.02;3.54;0.57;14q21-q22
116;OLFM4;0.0001666;100;4.54;28.16;0.16;13q21.1
117;NFE2L3;0.0001243;100;3.58;6.55;0.55;7p15-p14
118;LGALS4;0.0001549;100;2.38;4.14;0.58;19q13.2
119;MUC17;0.0002118;100;3.01;37.54;0.08;7q22.1
120;KLK10;0.0001582;100;3.08;7.41;0.42;19q13.3-q13.4
121;UNC93B1;0.0001401;100;3.61;6.39;0.57;11q13
122;TFCP2L1;0.0001655;100;5.74;13.62;0.42;2q14
123;KRT15;0.0001798;100;2.69;6.46;0.42;17q21.2
124;SERPINB2;0.0002116;100;2.02;6.04;0.33;18q21.3
125;TMC7;0.0001995;100;3.96;7.89;0.5;16p12.3
126;KRT6B;0.0002213;100;2.99;8.65;0.35;12q12-q13
127;UBE2C;0.0001866;100;6.52;12.5;0.52;20q13.12
128;C20orf102;0.0002816;100;4.13;14.51;0.28;20q11.23
129;VILL;0.0002957;100;1.55;3.94;0.39;3p21.3
130;MYB;0.0002687;100;1.7;5.59;0.3;6q22-q23
131;SPIRE2;0.0002104;100;2.55;4.82;0.53;16q24
132;PKP3;0.0002312;100;33.57;94.45;0.36;11p15
133;SOX21;0.0002524;100;9.04;33.42;0.27;13q31-q32
134;CDC20;0.0002162;100;4.24;7.95;0.53;1p34.1
135;CDX2;0.0002672;100;4.83;19.19;0.25;13q12.3
136;PMAIP1;0.000233;100;4.98;9.85;0.51;18q21.32
137;LOC201175;0.0002307;100;4.46;9;0.5;17q21.31
